Version,Metodo,Alfa,Acc,Acc medio,"Tempo (h,min,s)",n_cv
0,LS,0.005,"[0.09398884 0.09622597 0.07494751 0.05889049 0.07984542 0.07570087
 0.06416076 0.07133036 0.06531616 0.07599383]",0.07564002072101784,"(0, 0, 1.59)",1
1,LS,0.005,"[0.09398884 0.09622597 0.07494751 0.05889049 0.07984542 0.07570087
 0.06416076 0.07133036 0.06531616 0.07599383]",0.07564002072101784,"(0, 0, 1.4)",1
2,LS,0.005,"[0.09398884 0.09622597 0.07494751 0.05889049 0.07984542 0.07570087
 0.06416076 0.07133036 0.06531616 0.07599383]",0.07564002072101784,"(0, 0, 1.59)",1
