Version,Metodo,Split,Leaf,Acc,Acc medio,"Tempo (h,min,s)",n_cv
0,DT,320,200,"[0.06952104 0.08245246 0.0635047  0.03648889 0.05327325 0.06668328
 0.05797942 0.04756603 0.03892629 0.04567126]",0.05620666094744771,"(0, 0, 2.41)",10
1,DT,320,200,"[0.06952104 0.08245246 0.0635047  0.03648889 0.05327325 0.06668328
 0.05797942 0.04756603 0.03892629 0.04567126]",0.05620666094744771,"(0, 0, 2.43)",10
2,DT,320,200,"[0.07118525 0.07341846 0.07532497 0.05116623 0.05926769 0.06776638
 0.0652454  0.05286143 0.05048578 0.05429064]",0.06210122238103712,"(0, 0, 0.5)",10
