Version,Metodo,R2,MAE,MSE,"Tempo (h,min,s)"
0,DT,0.0572,5.3782,76.0864,"(0, 0, 0.3)"
1,DT,0.0572,5.3782,76.0864,"(0, 0, 0.36)"
